ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Desconto_Pct,Metodo_Pagamento,Canal_Venda,Cidade,Estado,Valor_Bruto,Valor_Desconto,Valor_Total
3628,2025-04-17,1803,Celular,Eletrônicos,1742.69,2,0.0,Boleto,App,Niterói,RJ,3485.38,0.0,3485.38
1924,2025-04-17,1196,Teclado,Eletrônicos,130.7,1,5.0,Pix,Marketplace,São Paulo,SP,130.7,6.535,124.16499999999999
4471,2025-04-17,1457,Mouse,Eletrônicos,79.52,2,5.0,Cartão de Crédito,Marketplace,Santos,SP,159.04,7.952,151.088
208,2025-04-17,1946,Perfume,Beleza,180.35000000000002,1,0.0,Boleto,Marketplace,Vitória da Conquista,BA,180.35000000000002,0.0,180.35000000000002
5705,2025-04-17,2098,Bola,Esportes,76.19,4,10.0,Pix,Site,Itabira,MG,304.76,30.476,274.284
550,2025-04-17,1442,Teclado,Eletrônicos,144.22,4,0.0,Boleto,Site,Feira de Santana,BA,576.88,0.0,576.88
1291,2025-04-17,2063,Jaqueta,Roupas,230.77,3,0.0,Boleto,Site,Vitória da Conquista,BA,692.3100000000001,0.0,692.3100000000001
3683,2025-04-17,1943,Notebook,Eletrônicos,3817.07,1,15.0,Cartão de Crédito,Marketplace,Campos,RJ,3817.07,572.5605,3244.5095
3961,2025-04-18,1003,Bola,Esportes,73.44,4,5.0,Boleto,Marketplace,Belo Horizonte,MG,293.76,14.688,279.072
913,2025-04-18,1587,Luva,Esportes,59.83,1,0.0,Boleto,App,Ilhéus,BA,59.83,0.0,59.83
3507,2025-04-18,2475,Corda,Esportes,32.25,2,10.0,Pix,Site,Contagem,MG,64.5,6.45,58.05
3986,2025-04-18,1302,Protetor Solar,Beleza,46.84,1,0.0,Pix,Marketplace,Feira de Santana,BA,46.84,0.0,46.84
39,2025-04-18,1521,Hidratante,Beleza,44.79,3,5.0,Cartão de Crédito,Marketplace,Betim,MG,134.37,6.718500000000001,127.6515
809,2025-04-18,1042,Halter,Esportes,143.37,1,0.0,Pix,App,Itabira,MG,143.37,0.0,143.37
4249,2025-04-18,2341,Almofada,Casa,38.45,2,0.0,Cartão de Crédito,Site,Campos,RJ,76.9,0.0,76.9
4176,2025-04-18,2102,Jaqueta,Roupas,195.09,1,10.0,Cartão de Débito,App,Betim,MG,195.09,19.509,175.58100000000002
2128,2025-04-18,2045,Celular,Eletrônicos,1752.9,2,0.0,Boleto,Marketplace,Belo Horizonte,MG,3505.8,0.0,3505.8
301,2025-04-18,1484,Boné,Roupas,52.44,4,0.0,Boleto,App,Betim,MG,209.76,0.0,209.76
2616,2025-04-18,2363,Garrafa Térmica,Esportes,39.52,1,10.0,Boleto,App,Santos,SP,39.52,3.9520000000000004,35.568000000000005
2196,2025-04-18,2016,Tapete,Casa,177.07,4,0.0,Cartão de Débito,Site,São Paulo,SP,708.28,0.0,708.28
3394,2025-04-18,1309,Notebook,Eletrônicos,3020.38,4,0.0,Pix,Marketplace,Betim,MG,12081.52,0.0,12081.52
5171,2025-04-18,1637,Panela,Casa,119.52,2,0.0,Cartão de Débito,Marketplace,Campos,RJ,239.04,0.0,239.04
3133,2025-04-19,2133,Boné,Roupas,48.6,2,0.0,Cartão de Crédito,Site,Petrópolis,RJ,97.2,0.0,97.2
4829,2025-04-19,1935,Teclado,Eletrônicos,136.74,4,10.0,Boleto,Marketplace,Petrópolis,RJ,546.96,54.696000000000005,492.264
1702,2025-04-19,2020,Hidratante,Beleza,39.54,2,0.0,Cartão de Crédito,Site,Petrópolis,RJ,79.08,0.0,79.08
3970,2025-04-19,1792,Sabonete,Beleza,8.96,2,0.0,Boleto,Marketplace,Itabira,MG,17.92,0.0,17.92
563,2025-04-19,1488,Garrafa Térmica,Esportes,43.66,1,0.0,Pix,Marketplace,Campos,RJ,43.66,0.0,43.66
2207,2025-04-19,2264,Calça,Roupas,114.75,2,0.0,Cartão de Crédito,Site,Ribeirão Preto,SP,229.5,0.0,229.5
4561,2025-04-19,1615,Vestido,Roupas,160.58,2,0.0,Cartão de Débito,Marketplace,Vitória da Conquista,BA,321.16,0.0,321.16
508,2025-04-19,2402,Halter,Esportes,140.79,2,0.0,Cartão de Crédito,Site,Contagem,MG,281.58,0.0,281.58
4830,2025-04-19,1714,Maquiagem,Beleza,94.31,1,0.0,Cartão de Crédito,App,Santos,SP,94.31,0.0,94.31
4865,2025-04-19,2284,Protetor Solar,Beleza,52.64,1,0.0,Cartão de Crédito,Site,Belo Horizonte,MG,52.64,0.0,52.64
5182,2025-04-19,1892,Camiseta,Roupas,58.15,2,0.0,Boleto,Site,Betim,MG,116.3,0.0,116.3
479,2025-04-19,1146,Teclado,Eletrônicos,139.49,1,0.0,Cartão de Débito,Site,São Paulo,SP,139.49,0.0,139.49
5147,2025-04-19,1484,Tapete,Casa,202.46,2,0.0,Pix,Site,Betim,MG,404.92,0.0,404.92
3447,2025-04-19,1218,Jaqueta,Roupas,247.77,2,0.0,Cartão de Crédito,Marketplace,São Paulo,SP,495.54,0.0,495.54
4048,2025-04-19,2397,Panela,Casa,130.93,3,0.0,Pix,Marketplace,Ilhéus,BA,392.79,0.0,392.79
1663,2025-04-19,2039,Bicicleta,Esportes,1512.97,1,15.0,Cartão de Débito,Site,Contagem,MG,1512.97,226.9455,1286.0245
1132,2025-04-19,1650,Garrafa Térmica,Esportes,46.02,1,15.0,Pix,Marketplace,Rio de Janeiro,RJ,46.02,6.9030000000000005,39.117000000000004
4941,2025-04-20,1490,Tênis,Roupas,309.49,2,5.0,Cartão de Crédito,Site,Betim,MG,618.98,30.949,588.0310000000001
191,2025-04-20,1504,Tênis,Roupas,309.91,3,10.0,Boleto,Marketplace,Petrópolis,RJ,929.73,92.97300000000001,836.7570000000001
3519,2025-04-20,2256,Calça,Roupas,119.06,2,0.0,Cartão de Débito,Marketplace,Vitória da Conquista,BA,238.12,0.0,238.12
5605,2025-04-20,1788,Almofada,Casa,45.34,2,10.0,Boleto,App,São Paulo,SP,90.68,9.068000000000001,81.61200000000001
1222,2025-04-20,2013,Almofada,Casa,41.29,1,15.0,Cartão de Débito,App,Campos,RJ,41.29,6.193499999999999,35.0965
5033,2025-04-20,1280,Sabonete,Beleza,10.13,1,15.0,Cartão de Crédito,Site,Betim,MG,10.13,1.5195,8.6105
5839,2025-04-20,1616,Perfume,Beleza,171.89,1,10.0,Boleto,App,Feira de Santana,BA,171.89,17.189,154.701
4204,2025-04-20,2044,Shampoo,Beleza,35.94,4,10.0,Boleto,Marketplace,Vitória da Conquista,BA,143.76,14.376,129.384
3990,2025-04-20,1718,Headset,Eletrônicos,242.73,1,10.0,Cartão de Crédito,Marketplace,Ilhéus,BA,242.73,24.273,218.457
5093,2025-04-20,2114,Headset,Eletrônicos,241.1,2,0.0,Cartão de Crédito,App,Campos,RJ,482.2,0.0,482.2
5313,2025-04-20,1217,Tênis,Roupas,283.75,1,0.0,Boleto,Marketplace,Petrópolis,RJ,283.75,0.0,283.75
5029,2025-04-20,1429,Headset,Eletrônicos,249.58,2,0.0,Boleto,Site,Itabira,MG,499.16,0.0,499.16
1065,2025-04-20,2468,Luva,Esportes,59.83,3,0.0,Cartão de Crédito,Marketplace,Belo Horizonte,MG,179.49,0.0,179.49
4376,2025-04-20,1654,Halter,Esportes,122.97,1,0.0,Pix,Marketplace,Betim,MG,122.97,0.0,122.97
1938,2025-04-21,2271,Tênis,Roupas,295.69,2,0.0,Boleto,Marketplace,Contagem,MG,591.38,0.0,591.38
4962,2025-04-21,1556,Shampoo,Beleza,33.56,2,0.0,Cartão de Crédito,Marketplace,Salvador,BA,67.12,0.0,67.12
1205,2025-04-21,2002,Garrafa Térmica,Esportes,42.05,1,5.0,Cartão de Débito,App,Betim,MG,42.05,2.1025,39.9475
3478,2025-04-21,2332,Monitor,Eletrônicos,860.12,1,0.0,Pix,Site,Campinas,SP,860.12,0.0,860.12
379,2025-04-21,1656,Vestido,Roupas,157.04,1,0.0,Pix,App,Feira de Santana,BA,157.04,0.0,157.04
3854,2025-04-21,2315,Almofada,Casa,39.28,2,0.0,Cartão de Crédito,Marketplace,Betim,MG,78.56,0.0,78.56
1460,2025-04-21,1087,Protetor Solar,Beleza,47.73,3,0.0,Boleto,App,Campos,RJ,143.19,0.0,143.19
1797,2025-04-21,2053,Luva,Esportes,59.83,2,0.0,Pix,Marketplace,Vitória da Conquista,BA,119.66,0.0,119.66
1571,2025-04-21,1665,Protetor Solar,Beleza,57.06,3,0.0,Cartão de Crédito,App,Vitória da Conquista,BA,171.18,0.0,171.18
3991,2025-04-22,1003,Tapete,Casa,201.79,1,15.0,Cartão de Débito,App,Contagem,MG,201.79,30.268499999999996,171.5215
3219,2025-04-22,1548,Shampoo,Beleza,39.39,1,0.0,Pix,Marketplace,Santos,SP,39.39,0.0,39.39
3985,2025-04-22,2414,Bicicleta,Esportes,1437.69,1,0.0,Boleto,Marketplace,Santos,SP,1437.69,0.0,1437.69
2688,2025-04-22,1474,Sabonete,Beleza,10.21,4,10.0,Cartão de Débito,Site,Campinas,SP,40.84,4.0840000000000005,36.756
4959,2025-04-22,1411,Panela,Casa,160.66,3,0.0,Boleto,App,Vitória da Conquista,BA,481.98,0.0,481.98
4775,2025-04-22,1125,Monitor,Eletrônicos,847.77,2,0.0,Pix,App,Betim,MG,1695.54,0.0,1695.54
3997,2025-04-22,1552,Shampoo,Beleza,31.47,4,0.0,Boleto,Marketplace,Vitória da Conquista,BA,125.88,0.0,125.88
2650,2025-04-22,1762,Mouse,Eletrônicos,81.05,4,0.0,Boleto,App,Vitória da Conquista,BA,324.2,0.0,324.2
1150,2025-04-22,2037,Perfume,Beleza,180.35000000000002,2,5.0,Pix,App,Campos,RJ,360.70000000000005,18.035000000000004,342.665
3716,2025-04-22,2034,Panela,Casa,144.95,1,10.0,Boleto,Site,Vitória da Conquista,BA,144.95,14.495,130.45499999999998
4089,2025-04-22,1973,Teclado,Eletrônicos,132.24,1,10.0,Cartão de Crédito,Marketplace,Campinas,SP,132.24,13.224000000000002,119.016
3906,2025-04-22,1316,Mouse,Eletrônicos,70.25,2,0.0,Cartão de Crédito,Marketplace,Feira de Santana,BA,140.5,0.0,140.5
1945,2025-04-22,1257,Almofada,Casa,49.05,4,0.0,Cartão de Crédito,Site,Campos,RJ,196.2,0.0,196.2
999,2025-04-23,2110,Celular,Eletrônicos,1751.61,1,15.0,Cartão de Débito,Marketplace,Vitória da Conquista,BA,1751.61,262.7415,1488.8685
983,2025-04-23,1528,Corda,Esportes,37.21,3,0.0,Cartão de Débito,App,Itabira,MG,111.63,0.0,111.63
5901,2025-04-23,1657,Camiseta,Roupas,51.26,1,0.0,Cartão de Débito,App,Ribeirão Preto,SP,51.26,0.0,51.26
906,2025-04-23,1888,Boné,Roupas,54.82,3,10.0,Cartão de Débito,Site,Ribeirão Preto,SP,164.46,16.446,148.014
5493,2025-04-23,1665,Notebook,Eletrônicos,3981.77,1,0.0,Pix,Site,Campinas,SP,3981.77,0.0,3981.77
5403,2025-04-23,1743,Sabonete,Beleza,10.13,4,0.0,Pix,App,Feira de Santana,BA,40.52,0.0,40.52
3264,2025-04-23,1799,Jaqueta,Roupas,209.45,1,0.0,Cartão de Crédito,Site,Campinas,SP,209.45,0.0,209.45
2229,2025-04-23,1280,Bola,Esportes,75.15,1,0.0,Cartão de Débito,Marketplace,Petrópolis,RJ,75.15,0.0,75.15
2619,2025-04-23,1355,Mesa,Casa,602.68,3,5.0,Cartão de Débito,Site,Ribeirão Preto,SP,1808.04,90.402,1717.638
240,2025-04-23,1187,Luminária,Casa,85.05,4,15.0,Cartão de Crédito,App,Ribeirão Preto,SP,340.2,51.029999999999994,289.17
2461,2025-04-23,1125,Corda,Esportes,31.82,1,0.0,Cartão de Débito,Marketplace,Santos,SP,31.82,0.0,31.82
5648,2025-04-23,2470,Celular,Eletrônicos,1668.63,3,5.0,Cartão de Crédito,App,São Paulo,SP,5005.89,250.29450000000003,4755.5955
2678,2025-04-23,1393,Maquiagem,Beleza,108.2,1,0.0,Cartão de Débito,App,Campinas,SP,108.2,0.0,108.2
1369,2025-04-24,1641,Notebook,Eletrônicos,3323.08,1,0.0,Boleto,Site,Belo Horizonte,MG,3323.08,0.0,3323.08
5512,2025-04-24,1520,Jaqueta,Roupas,213.78,1,15.0,Boleto,Marketplace,Ilhéus,BA,213.78,32.067,181.713
4433,2025-04-24,1795,Cadeira,Casa,263.42,1,5.0,Pix,App,Petrópolis,RJ,263.42,13.171000000000001,250.24900000000002
1899,2025-04-24,2327,Almofada,Casa,40.87,1,0.0,Cartão de Crédito,Marketplace,Betim,MG,40.87,0.0,40.87
5334,2025-04-24,1351,Vestido,Roupas,156.9,4,0.0,Cartão de Débito,App,Ilhéus,BA,627.6,0.0,627.6
295,2025-04-24,1094,Headset,Eletrônicos,246.49,3,0.0,Cartão de Débito,Site,Itabira,MG,739.47,0.0,739.47
3685,2025-04-24,1051,Mouse,Eletrônicos,79.52,2,0.0,Boleto,Marketplace,Betim,MG,159.04,0.0,159.04
3624,2025-04-24,1386,Bicicleta,Esportes,1640.56,3,10.0,Pix,Marketplace,Santos,SP,4921.68,492.16800000000006,4429.512000000001
2245,2025-04-24,1823,Perfume,Beleza,198.3,4,5.0,Pix,Marketplace,Campinas,SP,793.2,39.660000000000004,753.5400000000001
1697,2025-04-24,1129,Headset,Eletrônicos,260.91,1,15.0,Cartão de Débito,Marketplace,Salvador,BA,260.91,39.136500000000005,221.7735
613,2025-04-25,1466,Corda,Esportes,37.93,4,0.0,Cartão de Crédito,Site,Niterói,RJ,151.72,0.0,151.72
5716,2025-04-25,1076,Calça,Roupas,119.06,2,0.0,Pix,Site,Campinas,SP,238.12,0.0,238.12
1817,2025-04-25,2374,Corda,Esportes,32.8,1,5.0,Pix,App,Vitória da Conquista,BA,32.8,1.64,31.159999999999997
5174,2025-04-25,1635,Panela,Casa,133.3,3,0.0,Cartão de Débito,App,São Paulo,SP,399.90000000000003,0.0,399.90000000000003
786,2025-04-25,1019,Boné,Roupas,56.54,1,0.0,Pix,Marketplace,Ilhéus,BA,56.54,0.0,56.54
3112,2025-04-25,1213,Mesa,Casa,679.1,2,10.0,Cartão de Crédito,App,Vitória da Conquista,BA,1358.2,135.82000000000002,1222.38
3,2025-04-25,1440,Corda,Esportes,33.32,1,0.0,Boleto,Site,Ribeirão Preto,SP,33.32,0.0,33.32
4399,2025-04-25,1960,Bola,Esportes,70.725,2,0.0,Cartão de Débito,App,Niterói,RJ,141.45,0.0,141.45
1026,2025-04-25,1036,Shampoo,Beleza,35.8,3,10.0,Cartão de Crédito,App,Feira de Santana,BA,107.39999999999999,10.74,96.66
649,2025-04-25,1764,Maquiagem,Beleza,108.52,4,0.0,Cartão de Crédito,App,Campos,RJ,434.08,0.0,434.08
4193,2025-04-26,1426,Maquiagem,Beleza,98.56,1,10.0,Cartão de Crédito,App,Betim,MG,98.56,9.856000000000002,88.70400000000001
1936,2025-04-26,2422,Garrafa Térmica,Esportes,42.58,3,0.0,Boleto,Marketplace,Feira de Santana,BA,127.74,0.0,127.74
956,2025-04-26,1459,Luminária,Casa,81.08,4,15.0,Cartão de Crédito,App,Betim,MG,324.32,48.647999999999996,275.672
2923,2025-04-26,1033,Camiseta,Roupas,61.59,1,15.0,Cartão de Crédito,Site,Feira de Santana,BA,61.59,9.2385,52.3515
2592,2025-04-26,1114,Bicicleta,Esportes,1511.51,1,0.0,Boleto,Site,Contagem,MG,1511.51,0.0,1511.51
2581,2025-04-26,1886,Notebook,Eletrônicos,3564.86,3,15.0,Cartão de Débito,Site,Campinas,SP,10694.58,1604.187,9090.393
2112,2025-04-26,1285,Boné,Roupas,46.5,1,0.0,Cartão de Crédito,Marketplace,Itabira,MG,46.5,0.0,46.5
4302,2025-04-26,2323,Luminária,Casa,89.655,1,5.0,Boleto,Marketplace,Ilhéus,BA,89.655,4.48275,85.17225
4911,2025-04-26,1920,Perfume,Beleza,196.44,2,0.0,Pix,App,Itabira,MG,392.88,0.0,392.88
3233,2025-04-26,1237,Protetor Solar,Beleza,48.09,1,15.0,Boleto,Site,Betim,MG,48.09,7.2135,40.87650000000001
668,2025-04-26,1693,Protetor Solar,Beleza,52.75,1,15.0,Pix,Marketplace,São Paulo,SP,52.75,7.9125,44.8375
950,2025-04-26,1205,Halter,Esportes,120.06,1,0.0,Pix,Marketplace,Betim,MG,120.06,0.0,120.06
2860,2025-04-26,2185,Tapete,Casa,184.72,3,0.0,Cartão de Crédito,App,Ilhéus,BA,554.16,0.0,554.16
25,2025-04-26,1976,Jaqueta,Roupas,220.06,2,0.0,Pix,Site,Contagem,MG,440.12,0.0,440.12
1361,2025-04-26,2455,Almofada,Casa,38.82,1,5.0,Pix,App,Niterói,RJ,38.82,1.941,36.879
5470,2025-04-26,1702,Tênis,Roupas,295.69,4,5.0,Pix,Site,São Paulo,SP,1182.76,59.138000000000005,1123.622
5420,2025-04-26,1659,Perfume,Beleza,203.33,3,0.0,Cartão de Débito,Site,Ilhéus,BA,609.99,0.0,609.99
5957,2025-04-27,1439,Cadeira,Casa,273.61,2,0.0,Cartão de Débito,Site,Campos,RJ,547.22,0.0,547.22
2119,2025-04-27,2481,Mouse,Eletrônicos,70.08,2,10.0,Pix,Site,Ribeirão Preto,SP,140.16,14.016,126.14399999999999
1114,2025-04-27,2080,Tênis,Roupas,303.51,1,0.0,Cartão de Crédito,Marketplace,Ribeirão Preto,SP,303.51,0.0,303.51
5055,2025-04-27,1007,Shampoo,Beleza,31.15,1,5.0,Cartão de Débito,Site,Campinas,SP,31.15,1.5575,29.592499999999998
1626,2025-04-27,2240,Notebook,Eletrônicos,3700.66,1,15.0,Cartão de Crédito,Marketplace,Campos,RJ,3700.66,555.0989999999999,3145.5609999999997
19,2025-04-27,2180,Panela,Casa,139.67,2,0.0,Cartão de Débito,Site,Feira de Santana,BA,279.34,0.0,279.34
5361,2025-04-27,1720,Perfume,Beleza,180.35000000000002,4,0.0,Cartão de Crédito,App,Petrópolis,RJ,721.4000000000001,0.0,721.4000000000001
935,2025-04-27,2206,Celular,Eletrônicos,1724.71,1,15.0,Boleto,Site,Santos,SP,1724.71,258.7065,1466.0035
5424,2025-04-27,1732,Teclado,Eletrônicos,151.48,4,0.0,Cartão de Débito,Site,Campos,RJ,605.92,0.0,605.92
4137,2025-04-27,1723,Perfume,Beleza,180.35000000000002,2,0.0,Cartão de Débito,Marketplace,Itabira,MG,360.70000000000005,0.0,360.70000000000005
4462,2025-04-27,1399,Luva,Esportes,59.83,2,0.0,Cartão de Crédito,Marketplace,Feira de Santana,BA,119.66,0.0,119.66
4582,2025-04-27,1204,Perfume,Beleza,188.46,2,15.0,Boleto,Marketplace,Campinas,SP,376.92,56.538000000000004,320.382
1451,2025-04-27,2152,Protetor Solar,Beleza,55.39,1,0.0,Cartão de Crédito,App,Campinas,SP,55.39,0.0,55.39
5983,2025-04-27,1857,Boné,Roupas,52.46,1,5.0,Pix,Marketplace,Feira de Santana,BA,52.46,2.623,49.837
3035,2025-04-27,1939,Calça,Roupas,113.34,1,0.0,Pix,App,Ribeirão Preto,SP,113.34,0.0,113.34
2139,2025-04-27,1429,Bicicleta,Esportes,1289.6,1,0.0,Boleto,App,Contagem,MG,1289.6,0.0,1289.6
3021,2025-04-27,1266,Headset,Eletrônicos,263.56,2,0.0,Pix,Site,Vitória da Conquista,BA,527.12,0.0,527.12
4084,2025-04-28,1464,Bola,Esportes,61.49,2,0.0,Boleto,Marketplace,Feira de Santana,BA,122.98,0.0,122.98
2840,2025-04-28,1621,Mouse,Eletrônicos,79.52,1,0.0,Cartão de Crédito,Site,Vitória da Conquista,BA,79.52,0.0,79.52
5966,2025-04-28,2143,Bola,Esportes,80.04,2,0.0,Cartão de Crédito,Marketplace,Campos,RJ,160.08,0.0,160.08
1745,2025-04-28,1194,Monitor,Eletrônicos,935.32,1,0.0,Cartão de Crédito,Site,São Paulo,SP,935.32,0.0,935.32
3259,2025-04-28,2376,Monitor,Eletrônicos,798.33,2,5.0,Cartão de Débito,Marketplace,Ribeirão Preto,SP,1596.66,79.83300000000001,1516.827
1869,2025-04-28,1121,Tapete,Casa,209.75,1,15.0,Boleto,Site,Campinas,SP,209.75,31.4625,178.2875
5670,2025-04-28,1793,Camiseta,Roupas,56.71,4,0.0,Boleto,App,Petrópolis,RJ,226.84,0.0,226.84
4587,2025-04-28,1054,Vestido,Roupas,155.89,1,0.0,Cartão de Crédito,App,Vitória da Conquista,BA,155.89,0.0,155.89
5646,2025-04-28,2097,Calça,Roupas,112.02,2,15.0,Boleto,Marketplace,Petrópolis,RJ,224.04,33.605999999999995,190.434
5298,2025-04-28,1354,Mesa,Casa,688.64,2,15.0,Cartão de Débito,Site,Itabira,MG,1377.28,206.59199999999998,1170.688
3645,2025-04-28,2350,Sabonete,Beleza,10.12,3,0.0,Boleto,App,Betim,MG,30.36,0.0,30.36
2823,2025-04-28,1227,Halter,Esportes,148.52,2,0.0,Pix,App,Petrópolis,RJ,297.04,0.0,297.04
5573,2025-04-28,2254,Camiseta,Roupas,68.8,2,0.0,Boleto,Marketplace,Vitória da Conquista,BA,137.6,0.0,137.6
3707,2025-04-28,2407,Headset,Eletrônicos,278.76,2,0.0,Pix,Site,Campos,RJ,557.52,0.0,557.52
18,2025-04-28,1468,Teclado,Eletrônicos,127.82,1,10.0,Cartão de Crédito,Site,Campinas,SP,127.82,12.782,115.038
4628,2025-04-28,1227,Corda,Esportes,35.47,4,0.0,Pix,Site,Belo Horizonte,MG,141.88,0.0,141.88
1298,2025-04-28,1294,Teclado,Eletrônicos,161.48,2,0.0,Cartão de Débito,Site,Belo Horizonte,MG,322.96,0.0,322.96
995,2025-04-28,1029,Halter,Esportes,136.4,1,15.0,Pix,App,Santos,SP,136.4,20.46,115.94
131,2025-04-28,2086,Almofada,Casa,39.28,3,0.0,Pix,App,Niterói,RJ,117.84,0.0,117.84
1977,2025-04-28,1734,Luminária,Casa,97.96,1,5.0,Pix,Site,Ilhéus,BA,97.96,4.898,93.062
309,2025-04-28,1353,Mouse,Eletrônicos,68.71,4,0.0,Boleto,Site,Vitória da Conquista,BA,274.84,0.0,274.84
4039,2025-04-28,1213,Garrafa Térmica,Esportes,46.78,1,0.0,Boleto,Site,Vitória da Conquista,BA,46.78,0.0,46.78
3722,2025-04-29,1470,Tapete,Casa,188.99,2,10.0,Cartão de Crédito,Site,Rio de Janeiro,RJ,377.98,37.798,340.182
2830,2025-04-29,1688,Tapete,Casa,183.77,1,10.0,Cartão de Crédito,Marketplace,Salvador,BA,183.77,18.377000000000002,165.393
571,2025-04-29,2137,Sabonete,Beleza,9.92,4,5.0,Cartão de Débito,App,Campinas,SP,39.68,1.984,37.696
5104,2025-04-29,1314,Protetor Solar,Beleza,62.31,3,0.0,Cartão de Crédito,Site,Vitória da Conquista,BA,186.93,0.0,186.93
3953,2025-04-29,2320,Protetor Solar,Beleza,59.06,1,10.0,Cartão de Débito,Marketplace,Campos,RJ,59.06,5.906000000000001,53.154
5790,2025-04-29,1769,Halter,Esportes,139.57,1,0.0,Pix,App,Vitória da Conquista,BA,139.57,0.0,139.57
5375,2025-04-29,2198,Camiseta,Roupas,67.6,1,10.0,Cartão de Crédito,App,Niterói,RJ,67.6,6.76,60.839999999999996
1603,2025-04-29,1168,Jaqueta,Roupas,250.41,4,0.0,Cartão de Débito,Site,Contagem,MG,1001.64,0.0,1001.64
1411,2025-04-30,1080,Jaqueta,Roupas,220.06,1,15.0,Cartão de Crédito,Marketplace,Petrópolis,RJ,220.06,33.009,187.051
5487,2025-04-30,2054,Shampoo,Beleza,33.15,1,0.0,Boleto,App,Vitória da Conquista,BA,33.15,0.0,33.15
3424,2025-04-30,2368,Mouse,Eletrônicos,80.66,1,5.0,Cartão de Débito,App,Feira de Santana,BA,80.66,4.033,76.627
5877,2025-04-30,1167,Teclado,Eletrônicos,128.78,1,0.0,Pix,Site,Ilhéus,BA,128.78,0.0,128.78
3434,2025-04-30,1502,Halter,Esportes,118.8,2,0.0,Cartão de Débito,Marketplace,São Paulo,SP,237.6,0.0,237.6
2742,2025-04-30,2411,Jaqueta,Roupas,247.37,1,15.0,Boleto,Marketplace,Santos,SP,247.37,37.1055,210.2645
3446,2025-04-30,1970,Notebook,Eletrônicos,3564.86,1,0.0,Boleto,Marketplace,Niterói,RJ,3564.86,0.0,3564.86
2603,2025-04-30,1889,Almofada,Casa,49.48,4,15.0,Cartão de Débito,App,Ribeirão Preto,SP,197.92,29.687999999999995,168.232
1557,2025-04-30,1002,Vestido,Roupas,188.01,1,15.0,Cartão de Crédito,App,Ilhéus,BA,188.01,28.2015,159.80849999999998
2725,2025-04-30,1566,Notebook,Eletrônicos,3761.32,1,15.0,Cartão de Débito,App,Niterói,RJ,3761.32,564.198,3197.1220000000003
2340,2025-04-30,2015,Panela,Casa,149.57,1,15.0,Boleto,Site,Ilhéus,BA,149.57,22.435499999999998,127.1345
4345,2025-04-30,1608,Tapete,Casa,202.46,1,0.0,Cartão de Débito,Marketplace,Campinas,SP,202.46,0.0,202.46
2485,2025-04-30,2127,Cadeira,Casa,234.09,1,10.0,Cartão de Crédito,Site,Vitória da Conquista,BA,234.09,23.409000000000002,210.681
1838,2025-04-30,1219,Boné,Roupas,56.03,1,10.0,Cartão de Crédito,App,Contagem,MG,56.03,5.603000000000001,50.427
675,2025-04-30,2465,Mouse,Eletrônicos,78.34,2,15.0,Cartão de Débito,App,Ribeirão Preto,SP,156.68,23.502,133.178
